category,question,answer
휴복학,재학 중 학기 2/3선 이후 입대하는 경우 성적처리는 어떻게 되나요?,"◆ 학기 2/3선 해당일 이후에 입대(입대일 기준)하는 경우 당해학기가 인정되며, 학사에 관한 내규 제 25조에 의거하여 해당학기의 중간시험 성적으로 학기말시험 성적이 대체됩니다. 단, 중간시험 성적의 반영비율에 대한 최종적 권한은 해당 교과목 담당 교수님께 있으므로 학기 중 입대휴학 사실을 교수님께 미리 알려드리고 성적에 대한 상담을 받으시길 권해드립니다. (문의처: 교무처 학사지원팀)

부서: 교무처 학사지원팀
전화번호: 02-2123-2091, 2094~7"
휴복학,제대 후 한학기 쉬었다가 계절학기부터 듣고 싶다면?,"◆ 별도의 휴복학 절차없이 계절학기 수강이 가능합니다.
*부서: 교무처 학사지원팀
전화번호: 02-2123-2091, 2094~7"
휴복학,휴·복학 신청은 언제 어떻게 할 수 있나요?,"◆ 휴복학 신청기간은 매년 2월, 8월중에 있으며, 자세한 안내는 1월, 7월에 학교 메인홈페이지 및 학사포탈시스템 공지사항에 게시하오니 참고하시면 되겠습니다.
◆ 휴복학 신청은 학사포탈시스템 ▶ 학사관리 ▶ 휴복학에 클릭하여 신청합니다. 모든 휴.복학 신청.취소 등의 절차는 인터넷신청을 원칙으로 합니다
◆ 일반휴학 신청은 학기 2/3선(학사일정표 참조)일까지만 신청가능하며 이후는 신청할 수 없습니다.

부서: 교무처 학사지원팀
전화번호: 02-2123-2091, 2094~7"
휴복학,신입생인데 첫학기 휴학이 가능한가요?,"신입생(편입생, 졸업예정자복수전공, 재입학 등 포함)은 첫 학기 휴학이 불가합니다. 단, 입대휴학(입영통지서 사본 첨부)및 질병휴학(본 대학교 의료원이나 그에 준하는 상급종합병원(보건복지부 지정) 이상에서 발급된 전문의 진단서 및 건강센터 확인서 첨부)은 가능합니다.

*부서 : 교무처 학사지원팀
*전화번호 : 02-2123-2091, 2094~7"
휴복학,입영 통지서를 받았습니다. 입대휴학 신청은 어떻게 하면 되나요?,"◆ 신청방법 :
1단계 (신청): 학사포탈 접속 ▶학사관리 ▶학적 ▶휴복학 ▶ 입대휴학 에서 신청 (입영통지서 첫장 등재해야함)
2단계 (담당자 승인): 제출된 서류 검토 후 담당자 최종 승인

◆ 신청기간 (입대휴학 신청기간이 2008-2학기부터 변경됨)
[학기 2/3선 전 입대]
- 신청기간 : 입영통지서를 받은 날로부터 입영일 전까지
- 당해 학기 입대가 예정되어 있기는 하나, 학기 개시 14일 (수업료 전액 반환 기준 마지막 날짜) 이내 입영통지서를 못 받아 입대휴학 신청이 불가능한 경우 일반휴학을 신청한 뒤 입영통지서를 받으면 입대휴학을 신청할 것을 권장함 (일반휴학없이 14일이 지난 날부터 입대휴학하면 등록금은 등록금 반환 비율에 따름
- 당해 학기에 신청된 일반휴학은 휴학 사용 학기 수에 포함하지 않음

[학기 2/3선 이후 입대]
- 신청기간 : 입영 1주전부터 입영일 전까지
- 당해 학기에 신청된 일반휴학은 휴학 사용 학기 수에 포함됨

◆ 유의사항
- 입대휴학 신청 후 입영연기 나 귀가(향)조치 등의 사유로 입영일 변동이 발생되면 발생일로부터 1주일 이내로 증빙서류와 입대휴학취소원을 종합서비스센터로 제출해 학적을 변동하여야 하며 재입영시 다시 입대휴학 절차를 밟아야 함
- 일반휴학 중이라도 입대할 경우 입대휴학 절차에 따라 반드시 신청해야 함
- 학기 2/3선 기준일은 당해 학기 학사일정표 참조 바람
- 입대휴학 중이라도 연락처가 변경되면 포탈에 반드시 수정
- 재학 중 입대휴학하는 경우에는 등록금 반환 기준에 따라 반환됨
- 기타 유의 사항은 매학기 휴복학 신청 안내문을 참고 바람

*부서 : 교무처 학사지원팀
*전화번호 : 02-2123-2091, 2094~7"
휴복학,입대를 했다가 귀향조치를 받았는데 어떻게 하면 되나요?,"◆ 귀향조치일로부터 반드시 1주일이내에 귀향조치 증빙서류 지참하고 교무처 학사지원팀을 방문, 입대휴학 취소원을 제출해야 합니다.

*부서 : 교무처 학사지원팀
*전화번호 : 02-2123-2091, 2094~7"
휴복학,동일학기 내 일반휴학과 입대휴학이 겹치게 될 경우에는 일반휴학이 휴학학기에 가산이 되나요?,"◆ 2007년 2학기부터 당해 학기에 일반휴학 후 학기수업일수 2/3선 이전에 입대휴학(입영일 기준)하는 학생에 대해서는 그 기간을 휴학학기에 가산하지 않습니다 그러나 일반휴학생이 학기 2/3선 이후에 입대휴학(입영일 기준) 하는 경우는 가산이 됩니다.

*부서 : 교무처 학사지원팀
*전화번호 : 02-2123-2091, 2094~7"
휴복학,휴학 중 계절학기 수강이 가능한가요?,"◆ 휴학 중인 학생은 계절학기 수강이 가능합니다.

◆ 교무처 학사지원팀 계절학기 문의처: 02-2123-2097

*부서 : 교무처 학사지원팀
*전화번호 : 02-2123-2091, 2094~7"
휴복학,일반휴학을 계속하고 싶을 경우 일반휴학신청을 다시해야 하나요?,"◆ 2008-2학기부터는 일반휴학을 신청하는 경우 휴학 학기수를 지정하지 않고 본인이 원하는 학기에 복학신청을 하고 승인을 얻으면 복학 전까지 일반휴학으로 자동 연장됩니다.
◆ 단, 휴학 최대 학기를 초과하여 휴학인정은 불가하므로 이때는 반드시 정해진 기간 내에 복학 신청 및 등록을 완료해야 합니다.
◆ 만일 복학신청을 놓치면 미복학 제적 대상자로 처리됩니다.

*부서 : 교무처 학사지원팀
*전화번호 : 02-2123-2091, 2094~7"
휴복학,일반휴학하려는데 재학 중 휴학할 수 있는 최대 휴학 학기수가 궁금합니다.,"◆ 최대 휴학 학기수는 포탈(학적->자료조회)에서 확인할 수 있으며 최대 휴학 학기수는 아래와 같습니다.
* 당초입학자 : 6학기
* 학사편입, 군위탁, 복수전공 : 3학기
* 5학기 편입생 : 3학기
* 3학기 편입생 : 4학기

*부서 : 교무처 학사지원팀
*전화번호 : 02-2123-2091, 2094~7"
휴복학,학기 초과자도 휴학이 가능한가요?,"◆ 재학 중 휴학할 수 있는 학기가 남아있는 범위 내에서 휴학이 가능합니다. 그러나 마지막 학기에는 반드시 재학중 이어야 졸업이 가능합니다.

*부서 : 교무처 학사지원팀
*전화번호 : 02-2123-2091, 2094~7"
휴복학,휴학시 등록금 반환은 어떻게 되나요?,"◆ 등록금 납부한 후 휴학(입대휴학 포함)하는 경우 등록금은 아래 시행세칙에 따라 반환합니다
▶등록제도운영에 관한 시행세칙 제8조(등록금반환)
학기 개시후 14일 이내: 전액 반환
학기 개시후 15일 ~ 30일 : 5/6 반환
학기 개시후 31일 ~ 60일 : 2/3 반환
학기 개시후 61일 ~ 90일 : 1/2 반환
◆ 반환금은 학생증에 연계된 계좌로 입금되며 휴학승인후 통상 1~2주정도 걸립니다. 추가 문의는 재무회계팀 @ 02-2123-4500

*부서 : 교무처 학사지원팀
*전화번호 : 02-2123-2091, 2094~7"
휴복학,입대휴학 상태에서 복학신청은 언제 어떤 절차로 하면 되나요?,"◆ 신청기간 : 학기별 신청하며, 2월에는 1학기 복학신청, 8월에는 2학기 복학신청하는 기간이 1월과 7월에 신청기간이 공지됩니다.

◆ 절차 :
1단계 (신청): 학사포탈 접속 ▶학사관리 ▶학적 ▶휴복학 ▶ 복학 에서 신청 (병적기록 기재)
2단계 (담당자 승인): 제출된 서류 검투 후 담당자가 최종 승인 (승인날짜가 학적 변동일)

◆ 증빙서류 : 성명,생년월일,입영일,전역일 포함
*전역자 (택일): 병적증명서, 주민등록초본, 전역증 앞면 및 뒷면, 복무확인서, 전역예정증명서 (개강전 전역 예정자에만 해당)
*3월 또는 9월 전역예정자: 전역예정증명서와 잔여휴가확인서 함께 제출 (3월 전역예정자의 경우, 병역법에 의거한 정식휴가의 사용을 소속부대로부터 허가받고 3월이나 9월 개강일부터 출석이 가능한 학생에 한하여 복학 신청이 가능하오니 이점 유의하시기 바람)

*서류 형식: 2MB이하 제출
*부서 : 교무처 학사지원팀
*전화번호 : 02-2123-2091, 2094~7"
휴복학,전역전에 복학이 가능한가요?,"◆입대후 복학은 복학학기 이전에 전역한 경우 가능합니다
◆그러나 개강 직후 전역예정자 (즉, 3월과 9월 내)로서 정식 휴가일수로 수업참여가 허용된 범위 내 (개강첫날 부터)에서 복학이 승인되며, 증빙서로 전역예정증명서와 잔여휴가확인서를 복학신청 시 제출해야 합니다.

*부서 : 교무처 학사지원팀
*전화번호 : 02-2123-2091, 2094~7"
졸업,졸업학기에 휴학하는 경우 연기신청을 해야 하나요?,"졸업학기에 휴학하는 경우는 자동으로 졸업연기 처리됩니다. 또한 졸업신청한 학생이 휴학하고자 하는 경우는 졸업연기로 변경한 뒤에 휴학신청이 가능합니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
졸업,캠퍼스간 복수전공자인데 신촌캠에서 졸업식을 치룰 수 있나요?,"졸업식(학위수여식)은 제1전공을 기준으로 본인이 소속된 캠퍼스로 참석하여야 합니다. 학사모, 졸업가운, 졸업앨범 모두 제1전공을 기준으로 배부하고 있습니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
졸업,조기졸업의 요건은 무엇인가요?,"조기졸업을 하려면 아래의 세 요건을 모두 만족해야 합니다.
1. 소속대학이 정한 졸업이수학점 취득
2. 계절학기를 포함한 전체학기 성적의 평량평균이 3.75 이상
3. 학사경고가 없어야 함

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
졸업,수강철회가 있으면 우등졸업을 할 수 없나요?,"수강철회시 (최)우등졸업이 불가합니다. 수강철회자, 편입생(일반, 학사, 군위탁), 졸업예정자 복수전공자, 재입학자, 학사경고자, 징계자, 소속변경자, 학기초과자, 수료자는 최우등/우등졸업에서 제외됩니다.
*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
졸업,우등생 선발시 동점자는 어떻게 처리되나요?,"(최)우등상 수상 요건을 만족하는 경우, 동점자는 모두 선발됩니다. 선발기준은 ""성적""이며, 그 외 다른 기준(예: 총 이수학점, 전공 이수학점 등)은 없습니다.

*부서 : 학사지원
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
졸업,편입생은 학점이 아무리 높아도 우등졸업에서 제외되나요?,"편입생은 학점과 관계없이 우등졸업 대상에서 제외됩니다. 편입생과 당초입학생의 수학연학은 각각 4학기, 8학기로 이수한 학기수가 달라 동일한 조건으로 평가할 수 없기 때문입니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
졸업,조기졸업을 하는 경우 졸업하려는 학기의 계절학기 성적도 졸업학점에 포함되나요?,"졸업하려는 학기의 계절학기까지 성적을 포함하여 졸업할 수 있습니다. 예를 들어, 2월 졸업예정자의 경우 겨울 계절학기까지 취득한 학점을 포함하여 졸업할 수 있습니다. 단, 졸업요건을 이미 충족하였더라도 휴학 중에 정규학기가 아닌 계절학기만을 이수하여 졸업할 수는 없습니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
졸업,학부과목을 하나 이수하지 못하였는데 졸업신청도 되고 졸업예정증명서도 발급이 됩니다. 어떻게 된 건가요?,"졸업신청은 학점과 상관없이 7학기 이수 후 8학기 재학생(복학생)은 모두 신청 가능하며, 해당 신청 기간에 ""졸업신청"" 또는 ""졸업연기""로 신청하여야 수강신청이 가능합니다. 이는 졸업요건 충족 여부와는 관련이 없으며, 졸업예정 증명서는 졸업사정이 이루어지지 않은 단계이므로 졸업에 필요한 총 취득학점의 취득만을 기준으로 발급됩니다. 학부과목(교양) 및 전공이수여부와는 관련이 없으므로, 본인의 졸업요건을 충족하는지 다시한번 확인하시기 바랍니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
졸업,지금까지 들은 학점으로 졸업이 가능한지 확인은 어떻게 하나요?,"졸업신청자의 경우, 수강신청 2주 전부터 수강신청일까지 졸업예비사정을 할 수 있습니다. (학사포탈시스템 - 졸업/진급 - 졸업 - 졸업예비사정조회 또는 학점취득현황 조회) 학부과목(교양)은 학사지원팀, 전공은 해당학과에 문의하시기 바랍니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
졸업,최우등/우등 졸업의 기준은 무엇인가요?,"1) 최우등 졸업생 : 당초입학생으로 학업성적 평량평균이 3.75/4.00, 4.00/4.30 이상으로서 대학별 상위 1% 이내인 자
2) 우등 졸업생 : 당초입학생으로 학업성적 평량평균이 3.50/4.00, 3.75/4.30 이상으로서 대학별 상위 3%이내인 자
* 단, 당초입학생이 아닌 일반편입생, 학사편입생, 군위탁생, 졸업예정자 복수전 공생 및 재입학자, 학사경고자, 수강철회자, 징계자, 소속변경자, 학기초과자는 대상에서 제외됨

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
졸업,학점인정은 최대 몇 학점까지 되나요?,"1) 교환학생, 유학생 : 1학기 - 졸업학점의 1/8 이내 2학기 - 졸업학점의 1/4 이내 (2007년 2학기 파견 대상자부터 적용)
2) 연수생 : 3학점 이내
3) 편입생 : 2학년 편입 - 32학점 이내, 3학년 편입 - 63학점 이내 (단, 학번 및 학과에 따라 인정학점 범위는 상이함)
* 학점인정을 받은 과목을 다시 수강할 수는 없으며, 인정받은 과목은 졸업이수요건에 반영됩니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
재수강,학번별 재수강제도가 어떻게 다른가요?,"1) 13학년도 신입학자부터 졸업시까지 3회의 재수강 기회를 부여하며 최고 A0까지 취득 가능. 단, 필수교과에서 낙제하여(F성적 취득) 졸업하지 못하는 학생의 경우 3회의 재수강 기회를 초과해도 다시 수강할 수는 있으나, 이전 F성적도 평량평균에 반영됨. F/NP성적 이외의 성적을 취득한 교과목의 경우 재수강 횟수를 사용하지 않을 경우 수강신청이 불가능함. 원수강성적이 F/NP인 과목은 재수강횟수 사용여부와 상관없이 수강신청 가능하며 최고 A0 까지만 취득 가능. 단, 수강신청시 ‘재수강처리하지 않음(재수강*)’이 기본값으로 설정되어 있으니, 이전 소거를 희망하는 경우 수강변경기간동안 수강신청내역에서 재수강 과목('재수강*' → '재수강')으로 변경. 재수강기회 사용여부를 선택한 경우 수강변경 기간 이후에는 절대로 변경할 수 없음
2) 08~12학년도 입학자는 C+이하의 성적을 취득한 교과목에 한하여 재수강이 가능하며, 최고 A0까지 취득 가능
3) 05~07학년도 입학자는 C+이하의 성적을 취득한 교과목에 한하여 재수강이 가능하며, 최고 A0까지 취득 가능. 단, 학번별 허용된 횟수(05학번: 4회, 06학번: 3회, 07학번: 2회) 이내에서 원수강 성적 제한없이 재수강이 가능하며 재수강 후 A+까지 취득 가능함. 재수강기회 사용 의사표시 방법: 수강신청 시는 제한된 재수강신청 기회를 사용하지 않음이 기본값으로 설정되어 최고 A0의 성적만 취득할 수 있으므로, 제한된 재수강 기회를 사용할 경우에는 수강변경 시 수강신청내역에서 변경하여야 A+의 성적을 취득 가능함. 재수강기회 사용여부를 선택한 경우 수강변경 기간 이후 변경할 수 없음.
4) 05학번 이후 모든 학생은 계절제 수업에서는 성적등재가 안된 직전 정규학기 과목은 계절학기에 재수강할 수 없음.
5) 04학년도 이전 입학자는 이전 재수강 전 교과목에 대한 성적 및 재수강 후 취득할 수 있는 성적에 대한 제한이 없음.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
재수강,재수강 제도가 무엇인가요?,"1) 동일한 교과목을 2회 이상 수강했을 때 최종으로 이수한 성적과 학점만 인정하는 제도
2) 동일과목을 2회 이상 수강한 경우 최종으로 이수한 교과목의 학점을 제외한 이전 이수한 교과목의 학점은 졸업학점에 포함되지 않음
3) 이미 이수한 과목을 재수강하여 “F”의 성적을 받을 경우 이전에 취득하였던 학점도 인정되지 않음에 유의
4) 재수강 후 성적이 상향되더라도 이미 받은 성적에 대한 학사경고사항은 유효함

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
재수강,B학점을 받은 교과목을 재수강하여 C를 받은경우 성적처리는 어떻게 되나요?,"재수강시 성적은 항상 최종학기에 취득한 성적으로 등재됩니다. 따라서 이전에 B학점을 취득한 교과목을 재수강하여 C를 받았다면 성적표상에는 최종 취득한 성적인 C가 남게 됩니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
재수강,재수강(동일교과목) 교과목은 어떻게 알 수 있나요?,"원칙적으로 학정번호, 교과목명이 동일한 경우 재수강(동일교과목) 교과목입니다. 간혹 학정번호나 교과목명이 다른 경우에도 동일교과목인 경우가 있으므로, 학사포탈시스템(portal.yonsei.ac.kr)의 ‘학부/대학원 수강편람조회’에서 재수강(동일교과목) 교과목을 반드시 확인하시기 바랍니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
재수강,재수강 횟수에 대한 질문입니다.,"13학번 이후는 부득이한 경우에 한하여 총 3회 이내에서 재수강할 수 있도록 하고 있으며, F의 성적을 취득한 교과목은 재수강 횟수를 초과해도 다시 수강할 수 있으나, 평량평균 환산시에는 이전 F성적을 포함합니다. 다만, 재수강시 취득가능한 성적은 최고 A0로 제한합니다. 또한, 2005학번부터 2012학번까지는 C+ 이하의 성적을 취득한 교과목에 한해서만 재수강이 가능하며, 최고 A0까지만 취득 가능합니다. 단, 2005학번부터 2007학번까지는 제한된 횟수 내에서 성적에 관계없이 재수강할 수 있으며, 재수강시 성취도에 따라 최고 A+까지 취득할 수 있습니다(05학번: 재학 중 4회, 06학번: 3회, 07학번: 2회).

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
재수강,재수강시 성적 처리는 어떻게 되나요?,"재수강시 최종 이수한 학점 및 성적만 등재가 되며, 이전에 취득한 학점 및 성적은 삭제가 됩니다. 아울러 이전에 취득한 성적이 빠져나와 삭제되므로 이전학기 평량평균과 전체성적의 평량평균은 변하게 됩니다. 다만, 13학번 이후는 부득이한 경우에 한하여 총 3회 이내에서 재수강할 수 있도록 하고 있으며, F의 성적을 취득한 교과목은 재수강 횟수를 초과해도 다시 수강할 수 있으나, 평량평균 환산시에는 이전 F성적을 포함합니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
재수강,폐강(폐지)된 과목은 재수강 할 수 없나요?,"폐강(폐지)된 교과목은 재수강할 수 없습니다. 동일교과목은 전공학과에서 정하며, 동일교과목 리스트에 없는 과목은 재수강할 수 없습니다. 다만, 2000년도 전후에 폐지된 학부기초 교과목 중 다음의 8개 과목은 별도로 재수강 교과목을 지정하여 재수강 처리를 하고 있습니다
< 폐지된 학부기초 교과목>
성서와기독교, 기독교와역사, 말과삶, 글과삶, 영어(1), 영어(2), 실용영어(1), 실용영어(2)
* 수강신청 후 학사포탈시스템에서 ‘재수강과목인정원’을 다운로드 받아 교무처 학사지원팀으로 제출
* 재수강 교과목간의 학점 불일치로 인한 졸업학점이 미달되는 경우가 있을 수 있으므로 재수강 신청시 졸업학점을 필히 확인하여야 함

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
재수강,재수강한 과목을 재수강처리 하지 않을 수는 없나요?,"재수강을 하게 되면 이전에 취득한 학점이 빠져나와 삭제가 되므로 졸업시 학점부족으로 인해 재수강한 과목에 대한 재수강 처리를 하지 말아 달라는 요청이 있으나 절대 불가합니다. 따라서 재수강을 할 경우 졸업 전에 삭제된 학점으로 인해 졸업에 문제가 없는지 반드시 사전에 점검하시기 바랍니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
재수강,재수강한 과목을 철회하면 어떻게 되나요?,"재수강하고 있는 교과목을 철회하였을 경우 이전에 초수강한 교과목의 학점과 성적은 없어지지 않습니다. 그러나 철회한 교과목은 과목 옆에 “W”가 기록됩니다(성적증명서에는 표기되지 않음).

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
재수강,재수강한 과목을 다시 재수강할 수 있나요?,"재수강한 과목을 계속 몇 번씩 재수강하여도 괜찮습니다만, 학번별로 적용되는 기준 등이 다를 수 있습니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
재수강,원주캠퍼스 계절학기 과목으로 재수강해도 신촌캠퍼스 재수강으로 인정됩니까?,"계절학기 안내문 공고시 홈페이지 공지사항에 원주캠퍼스 과목 신촌캠퍼스 재수강 과목으로 인정 리스트를 게재하고 있으니 참고하시기 바랍니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
재수강,수업계획서는 어떻게 조회하나요? 등재되지 않은 과목 속히 올려주세요.,"우리대학교의 수업계획서는 학사포탈시스템(portal.yonsei.ac.kr)의 ‘학부/대학원 수강편람조회’에서 학년도 학기별로 조회할 수 있습니다. 등재되지 않은 과목에 대하여는 교무처 학사지원팀에서 공문 등을 통하여 담당교수에게 지속적으로 요청하고 있습니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
재수강,우리대학교도 학점포기제를 실시하나요?,"우리대학교는 학점 포기제를 실시하고 있지 않으며, 향후에도 실시할 계획이 없습니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
재수강,원주 학생인데 신촌에서 들은 과목도 재수강으로 인정받을 수 있나요?,"학기 중에는 캠퍼스간 복수전공자에 한해서 신촌캠퍼스 과목을 수강신청할 수 있으며 계절학기에는 신촌, 원주 어디서나 수강신청할 수 있습니다. 단, 계절학기 기간에 공지사항을 통해 재수강 인정과목을 확인하시기 바랍니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
복수전공/연계전공,복수전공 신청기간은 언제인가요?,"캠퍼스내 복수전공(이중전공)은 기말고사 기간 경에 학사포탈시스템을 통해 신청할 수 있습니다. 신청시 학업계획서를 작성한 후 희망하는 전공을 선택하면 됩니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
복수전공/연계전공,학부-대학원 연계과정의 지원자격은 무엇인가요?,"학부-대학원 연계과정 합격자는 추후 별도의 대학원 입학시험 없이 학부졸업 후 대학원에 진학하여 석사학위과정(5년) 또는 통합학위과정을 절차를 밟아 학위를 취득할 수 있습니다. 지원자격은 다음과 같습니다. 가. 2학년(4학기)을 수료하고 전체 평량평균이 3.3/4.3(3.0/4.0) 이상으로 학과장의 추천을 받은 자 나. 4학기 이수 후 5학기 시작 전 1회에 한해 지원 가능 다. 전공승인을 받지않은 학부대학 소속 학생, 일반/학사편입생, 복수전공자, 학사경고자는 지원할 수 없음

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
복수전공/연계전공,졸업예정자 복수전공 승인 후 첫학기 휴학할 수 있나요?,"졸업예정 복수전공자는 학번이 새로 부여되며 졸업장도 따로 발급되는 등 신입생에 준하므로, 승인 후 첫학기 일반휴학은 불가합니다(입대휴학은 예외임).

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
복수전공/연계전공,복수전공시 졸업 증명서에 어떻게 표기되나요?,"캠퍼스내 복수전공(이중전공)의 경우, 졸업 증명서 한 장에 두개의 학위가 함께 표시됩니다. 졸업예정학기에 신청하는 졸업예정자 복수전공의 경우, 각각의 졸업 증명서가 발급됩니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
복수전공/연계전공,타 단과대학의 학과를 복수전공할 수 있나요?,"글로벌융합공학부, 의치간호대학 및 음악대학, 언더우드국제대학 등을 제외한 모든 학과의 복수전공을 허용하고 있습니다(예, 간호학 전공자가 도시공학 복수전공 가능함).

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
복수전공/연계전공,캠퍼스내 복수전공을 하고 싶은데 여석은 어떻게 확인하나요? 또한 커트라인이 궁금합니다.,"캠퍼스내 복수전공의 경우 신청시기에 지원가능 현황표가 공지됩니다. 선발가능하다고 하더라도 선발하지 않는 경우도 있으며, 여석의 개념이 아닌 몇 명 이상 선발하도록 하여 많은 학생들이 다양한 전공을 경험할 수 있도록 장려하고 있습니다. 다만, 심사는 해당학과에서 실시하므로 합격 커트라인은 공개되는 것이 아닙니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
복수전공/연계전공,캠퍼스내 복수전공을 신청했다가 취소하는 경우 그 과목을 부전공하는 것이 가능한가요?,"캠퍼스내 복수전공 취소 후 부전공으로 변경 가능합니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
복수전공/연계전공,졸업예정자 복수전공생도 부전공을 할 수 있나요?,"졸업예정자 복수전공생도 부전공 이수가 가능합니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
복수전공/연계전공,캠퍼스내 복수전공 취소 절차가 궁금합니다.,"졸업직전학기까지 캠퍼스내 복수전공 취소원을 작성하여 복수전공 학과의 학과장, 대학장의 날인을 받아 학사지원팀으로 제출하시면 됩니다. 해당 서류는 홈페이지의 각종 신청서 양식 모음에서 다운로드받을 수 있습니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
복수전공/연계전공,부전공은 언제 신청하며 어떻게 과목이수해야 하나요?,"부전공은 해당 부전공과목 21학점을 미리 이수하고 졸업신청기간에 부전공 학과를 선택하면 됩니다. 단, 부전공과목은 해당 학과장 지도 후 수강신청하기 바랍니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
복수전공/연계전공,졸업예정자 복수전공 신청기간은 언제인가요? 혹시 복수전공 불합격 후 졸업취소가 가능한가요?,"매학기 말에 신청가능합니다. 복수전공 합격여부를 졸업심사 전에 알 수 있는 경우 졸업취소가 가능하며, 그렇지 않을 경우에는 졸업 취소가 불가합니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
복수전공/연계전공,원주에서 신촌캠의 학과를 복수전공하고자 할 때 반드시 동일한 계열이어야 하나요?,"계열과 상관없이 소속대학 소재지 캠퍼스에 없는 전공에 한하여 신청이 가능합니다.
*부서 : 원주캠퍼스 교무부
*전화번호 : 033-760-2166"
복수전공/연계전공,연계전공은 연세대학교 학생이라면 누구나 가능한가요?,"학부과정 재학생 중 96학번부터 연계전공을 신청할 수 있습니다. 규정상 일반편입생은 연계전공 신청이 가능하나, 학사편입생 및 대학원생은 신청이 불가합니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
복수전공/연계전공,연계전공은 언제 어떻게 신청하면 되나요?,"연계전공신청 기간은 일반적으로 캠퍼스내 복수전공(이중전공) 신청기간과 동일합니다. 기말고사 기간 경에 학사포탈시스템을 통해 신청하시기 바랍니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
복수전공/연계전공,"동일한 과목을 전공과 연계전공, 두 곳에서 인정받을 수 있나요?","하나의 교과목은 전공과 연계전공 및 교양과목으로 중복 인정이 될 수 없습니다. 따라서 하나의 과목을 어느 전공으로 인정받을 것인가는 학생이 선택하는 사항입니다. 교양과목도 연계전공 인정과목 리스트에 있으면 연계전공 과목으로 인정될 수 있으나, 이 경우는 졸업학점 중 이수해야 할 교양과목 요건에서 부족하게 될 수 있으므로 유의하시기 바랍니다.

*부서 : 학사지원팀
*전화번호 : 02-2123-2090, 2091, 2096, 2097"
